timestamp,attack_type,src_ip,dst_ip,dst_port,protocol,info
1752520900.038279,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520900.699169,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520901.358788,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520902.003486,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520902.648728,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520903.306382,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520903.957334,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520904.602925,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520905.2613,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520905.91706,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520906.562474,PortScan,192.168.1.42,,,,Ports scanned: 300
1752520911.450348,BruteForce,184.28.81.159,192.168.1.42,51662,,Attempts: 200
1752520937.426709,BruteForce,192.168.1.3,192.168.1.42,50146,,Attempts: 200
1752520957.615854,BruteForce,192.168.1.7,192.168.1.42,50147,,Attempts: 200
1752520983.380285,BruteForce,192.168.1.3,192.168.1.42,50146,,Attempts: 200
1752521104.363169,BruteForce,184.28.81.159,192.168.1.42,51662,,Attempts: 200
1752521108.804334,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521108.830109,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521108.853084,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521108.877483,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521108.900943,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521108.922223,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521108.947272,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521108.971187,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521108.99386,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521109.019103,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521109.042223,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521109.063863,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521109.087632,BruteForce,151.101.198.248,192.168.1.42,51681,,Attempts: 200
1752521155.463767,BruteForce,192.168.1.3,192.168.1.42,50146,,Attempts: 200
1752521251.039382,BruteForce,192.168.1.3,192.168.1.42,50146,,Attempts: 200
1752521287.939311,BruteForce,184.28.81.159,192.168.1.42,51662,,Attempts: 200
1752521288.031424,BruteForce,184.28.81.159,192.168.1.42,51662,,Attempts: 200
1752521431.341789,BruteForce,142.250.176.4,192.168.1.42,61627,,Attempts: 200
1752521442.82571,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521442.847434,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521442.869716,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521442.87795,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521442.894429,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521442.89443,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521442.903152,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521442.906304,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521442.914355,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
